"","MOS","Rank","Assignment","Type"
"59","Air Defense Artillery","MAJ","USAADAS/ILE faculty and staff officer","DEV"
"60","Air Defense Artillery","MAJ","Brigade/division/corps staff officer","DEV"
"61","Air Defense Artillery","MAJ","GMD Brigade/ARSPACE/SMDC staff officer","DEV"
"62","Air Defense Artillery","MAJ","Department of Defense/JIIM/Army/ACOM staff officer","DEV"
"63","Air Defense Artillery","MAJ","Battle Command Training Program positions","DEV"
"64","Air Defense Artillery","MAJ","Service school instructor","DEV"
"65","Air Defense Artillery","MAJ","AC/RC Service","DEV"
"66","Air Defense Artillery","MAJ","Other branch or multi-functional positions","DEV"
"67","Air Defense Artillery","MAJ","Inspector General","DEV"
"68","Air Defense Artillery","MAJ","fellowships","DEV"
"69","Air Defense Artillery","MAJ","ROTC/USMA instructor","DEV"
"70","Air Defense Artillery","MAJ","FCoE Staff/CDID/DOTD/OCADA","DEV"
"71","Air Defense Artillery","MAJ","ATEC/U.S. Army Training and Doctrine Command","DEV"
"72","Air Defense Artillery","MAJ","AWG assignments","DEV"
"73","Air Defense Artillery","MAJ","Futures/Army Staff G-8 and HRC positions","DEV"
"74","Air Defense Artillery","LTC","SMDC staff officer","DEV"
"75","Air Defense Artillery","LTC","DoD/JIIM/Army/ACOM staff officer","DEV"
"76","Air Defense Artillery","LTC","Service school instructor/staff officer","DEV"
"77","Air Defense Artillery","LTC","AC/RC Service","DEV"
"78","Air Defense Artillery","LTC","BCTP positions","DEV"
"79","Air Defense Artillery","LTC","Director of OCADA, selected FCoE assignments","DEV"
"80","Air Defense Artillery","LTC","HRC staff","DEV"
"81","Air Defense Artillery","LTC","Chief, GMD fire direction center","DEV"
"82","Air Defense Artillery","LTC","FCoE staff/Fires Officer","DEV"
"83","Air Defense Artillery","COL","SMDC/German Air and Missile Defense Force/GMD staff officer","DEV"
"84","Air Defense Artillery","COL","DoD/Joint/Army/ACOM staff officer","DEV"
"85","Air Defense Artillery","COL","Installation staff officer","DEV"
"86","Air Defense Artillery","COL","ROTC/USMA staff officer","DEV"
"87","Air Defense Artillery","COL","AC/RC Service","DEV"
"88","Air Defense Artillery","COL","USAADAS Assistant Commandant","DEV"
"89","Air Defense Artillery","COL","FCoE G 3/5/7, TCM-AAMDC, TCM-ADA Brigade","DEV"
"90","Air Defense Artillery","COL","MDA, Director Warfighter Integration","DEV"
"91","Air Defense Artillery","COL","USSTRATCOM Deputy Commander or Director of Operations JFCC-IMD","DEV"
